participant,session_date,screen,note
P1,2026-07-14,Fare selection,"Tapped the big blue Buy button and nothing seemed to happen for about five seconds, so I tapped it three more times."
P1,2026-07-14,Payment,"I couldn't tell whether my card had actually been charged — no receipt appeared anywhere."
P1,2026-07-14,Timetable,"The departure time is in tiny grey text, I had to hold the phone right up to my face."
P2,2026-07-14,Account,"I went looking for my saved tickets under Account and they were actually under a Wallet icon I hadn't noticed."
P2,2026-07-14,Return leg,"It let me pick a return sailing that was earlier than my outbound one and only complained after I paid."
P2,2026-07-14,Fare selection,"""Concession fare"" — I have no idea if a student counts as that."
P3,2026-07-15,Wallet,"I accidentally deleted a ticket and there was no way to get it back."
P3,2026-07-15,Seat picker,"The seat map kept scrolling under my finger while I was trying to pick a seat."
P3,2026-07-15,Timetable,"Loading spinner ran for a long time on the timetable screen with no indication of progress."
P4,2026-07-15,Payment,"Had to type my card details again even though I bought a ticket last week on the same phone."
P4,2026-07-15,Passenger details,"The phone number field rejected my number because of the spaces and just said ""Invalid""."
P4,2026-07-15,Fare selection,"I wasn't sure if the price shown included the vehicle or just me as a passenger."
P4,2026-07-15,Passenger details,"Contrast on the disabled Continue button is so low I thought the app had frozen."
P5,2026-07-16,Search,"Searched for ""Rothesay"" and got no results because the stop is listed as ""Rothesay Pier""."
P5,2026-07-16,Payment,"There's no way back from the payment screen except closing the whole app."
P5,2026-07-16,Payment,"It said ""Booking failed"" but not why, so I just tried the same thing again."
P5,2026-07-16,Boarding pass,"The QR code screen times out and you have to re-authenticate at the gate, which is stressful."
P6,2026-07-16,Trip summary,"I missed that I'd selected a one-way trip until I was at the terminal."
P6,2026-07-16,Date picker,"Date picker defaults to today but the first available sailing is tomorrow, which is confusing."
P6,2026-07-16,Fare selection,"Tiny tap targets on the passenger count stepper, I kept hitting the wrong one."
